,RAW,FREQ,FULL_NAME,ADDRESS,LOC_TYPE,STREET,CITY,STATE,ZIP,COUNTY_SYSTEM,STATUS,
35,BETHANY HOSPITA,49,ADVOCATE BETHANY HOSPITAL,"3435 W VAN BUREN ST, CHICAGO, IL 60624",HOSPITAL,3435 W VAN BUREN ST,CHICAGO,IL,60624,,CLOSED,
1,CHRIST HOSPITAL,1971,ADVOCATE CHRIST MEDICAL CENTER,"4440 W 95TH ST, OAK LAWN, IL 60453",HOSPITAL,4440 W 95TH ST,OAK LAWN,IL,60453,,,
6,ILLINOIS MASONI,621,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,"836 W WELLINGTON AVE, CHICAGO, IL 60657",HOSPITAL,836 W WELLINGTON AVE,CHICAGO,IL,60657,,,
42,LUTHERAN GENERA,36,ADVOCATE LUTHERAN GENERAL HOSPITAL,"1775 DEMPSTER ST, PARK RIDGE, IL 60068",HOSPITAL,1775 DEMPSTER ST,PARK RIDGE,IL,60068,,,
48,SOUTH SUBURBAN,28,ADVOCATE SOUTH SUBURBAN HOSPITAL,"17800 S KEDZIE AVE, HAZEL CREST, IL 60429",HOSPITAL,17800 S KEDZIE AVE,HAZEL CREST,IL,60429,,,
40,TRINITY HOSPITA,41,ADVOCATE TRINITY HOSPITAL,"2320 E 93RD ST, CHICAGO, IL 60617",HOSPITAL,2320 E 93RD ST,CHICAGO,IL,60617,,,
52,BILLINGS MEMORI,22,ALBERT MERRITT BILLINGS HOSPITAL,"950 E 59TH ST, CHICAGO, IL 60637",HOSPITAL,950 E 59TH ST,CHICAGO,IL,60637,,,
65,ALEXIAN BROTHER,8,AMITA HEALTH ALEXIAN BROTHERS MEDICAL CENTER ELK GROVE VILLAGE,"800 BIESTERFIELD RD, ELK GROVE VILLAGE, IL 60007",HOSPITAL,800 BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,,,
63,HOLY FAMILY HOS,10,AMITA HEALTH HOLY FAMILY MEDICAL CENTER DES PLAINES,"100 N RIVER RD, DES PLAINES, IL 60016",HOSPITAL,100 N RIVER RD,DES PLAINES,IL,60016,,,
72,RESURRECTION HO,6,AMITA HEALTH RESURRECTION MEDICAL CENTER CHICAGO,"7435 W TALCOTT AVE, CHICAGO, IL 60631",HOSPITAL,7435 W TALCOTT AVE,CHICAGO,IL,60631,,,
113,RESURRECTION ME,2,AMITA HEALTH RESURRECTION MEDICAL CENTER CHICAGO,"7435 W TALCOTT AVE, CHICAGO, IL 60631",HOSPITAL,7435 W TALCOTT AVE,CHICAGO,IL,60631,,,
14,ST. FRANCIS HOS,147,AMITA HEALTH SAINT FRANCIS HOSPITAL EVANSTON,"355 RIDGE AVE, EVANSTON, IL 60202",HOSPITAL,355 RIDGE AVE,EVANSTON,IL,60202,,,
64,ST. FRANCES XAV,9,SAINT CABRINI HOSPITAL,"811 S LYTLE ST, CHICAGO, IL 60607",HOSPITAL,811 S LYTLE ST,CHICAGO,IL,60607,,CLOSED,"Spot-checked by Dr. Arunkumar for case 90-JAN-0496: confirmed location was St Cabrini. Closed in 1996 (?): https://www.chicagobusiness.com/article/19960106/ISSUE01/10008104/obituary-for-a-neighborhood-hospitals-cabrini-s-close-why-only-biggest-survive; http://www.hospital-data.com/hospitals/ST-CABRINI-HOSPITAL-CHICAGO.html; https://www.cabrininationalshrine.org/mother-cabrini---chicago-missions; https://illinois.hometownlocator.com/maps/feature-map,ftc,3,fid,1833153,n,saint%20cabrini%20hospital.cfm"
69,ST. JOSEPH'S HO,7,AMITA HEALTH SAINT JOSEPH HOSPITAL CHICAGO,"2900 N LAKE SHORE DR, CHICAGO, IL 60657",HOSPITAL,2900 N LAKE SHORE DR,CHICAGO,IL,60657,,,
24,ST. ELIZABETH'S,85,AMITA HEALTH SAINTS MARY AND ELIZABETH MEDICAL CENTER: SAINT ELIZABETH CAMPUS,"1431 N CLAREMONT AVE, CHICAGO, IL 60622",HOSPITAL,1431 N CLAREMONT AVE,CHICAGO,IL,60622,,,"Top result is for a St Elizabeth's in O'Fallon, IL - far from Chicago. IF AMITA HEALTH, this is ST ELIZABETH CAMPUS - different locations for MARY and ELIZABETH"
17,ST. MARY OF NAZ,117,AMITA HEALTH SAINTS MARY AND ELIZABETH MEDICAL CENTER: SAINT MARY OF NAZARETH CAMPUS,"2233 W DIVISION ST, CHICAGO, IL 60622 ",HOSPITAL,2233 W DIVISION ST,CHICAGO,IL,60622,,,
84,ST. ALEXIUS HOS,4,AMITA HEALTH ST. ALEXIUS MEDICAL CENTER HOFFMAN ESTATES,"1555 BARRINGTON RD, HOFFMAN ESTATES, IL 60169",HOSPITAL,1555 BARRINGTON RD,HOFFMAN ESTATES,IL,60169,,,
109,HOFFMAN ESTATES,2,AMITA HEALTH ST. ALEXIUS MEDICAL CENTER HOFFMAN ESTATES,"1555 BARRINGTON RD, HOFFMAN ESTATES, IL 60169",HOSPITAL,1555 BARRINGTON RD,HOFFMAN ESTATES,IL,60169,,,"Not positive, but no other clear contenders"
21,MITCHELL HOSPIT,104,BERNARD A. MITCHELL HOSPITAL,"5841 S MARYLAND AVE, CHICAGO, IL 60637",HOSPITAL,5841 S MARYLAND AVE,CHICAGO,IL,60637,,,
108,CENTRAL COMMUNI,2,CENTRAL COMMUNITY HOSPITAL,"5701 S WOOD ST, CHICAGO, IL, 60636",HOSPITAL,5701 S WOOD ST,CHICAGO,IL,60636,,CLOSED,Closed in 1990: https://www.chicagotribune.com/news/ct-xpm-1990-03-15-9001220019-story.html
36,CHICAGO OSTEOPA,47,CHICAGO OSTEOPATHIC HOSPITAL,"5200 S ELLIS AVE, CHICAGO, IL 60615",HOSPITAL,5200 S ELLIS AVE,CHICAGO,IL,60615,,CLOSED,"Closed 20+ years ago, but I think this location is correct"
45,CHILDREN'S MEMO,29,CHILDREN'S MEMORIAL HOSPITAL,"225 E CHICAGO AVE, CHICAGO, IL 60611",HOSPITAL,225 E CHICAGO AVE,CHICAGO,IL,60611,,,Now renamed LURIE CHILDREN’S HOSPITAL OF CHICAGO
86,COLUMBUS HOSPIT,3,COLUMBUS HOSPITAL,"2520 NORTH LAKEVIEW AVE, CHICAGO, IL 60614",HOSPITAL,2520 NORTH LAKEVIEW AVE,CHICAGO,IL,60614,,CLOSED,"Closed in 2001: https://news.wttw.com/2012/10/01/chicagos-mother-cabrini-shrine-reopens#:~:text=In%20late%202001%2C%20Columbus%20Hospital%20closed%20its%20doors.,the%20order%20of%20nuns%20founded%20by%20Mother%20Cabrini."
4,MEDICAL EXAMINE,802,COOK COUNTY MEDICAL EXAMINER,"2121 W HARRISON ST, CHICAGO, IL 60612",MEDICAL_EXAMINER,2121 W HARRISON ST,CHICAGO,IL,60612,,,
37,EDGEWATER HOSPI,45,EDGEWATER HOSPITAL,"5700 N ASHLAND AVE, CHICAGO, IL 60660",HOSPITAL,5700 N ASHLAND AVE,CHICAGO,IL,60660,,CLOSED,
44,ENGLEWOOD HOSPI,30,ENGLEWOOD HEALTH CENTER,"1135 W 69TH ST, CHICAGO, IL 60621",HOSPITAL,1135 W 69TH ST,CHICAGO,IL,60621,YES,,
22,OLYMPIA FIELDS,91,FRANCISCAN HEALTH OLYMPIA FIELDS,"20201 SOUTH CRAWFORD AVE, OLYMPIA FIELDS, IL 60461",HOSPITAL,20201 SOUTH CRAWFORD AVE,OLYMPIA FIELDS,IL,60461,,,Potentially also FRANCISCAN ST JAMES HEALTH OLYMPIA FIELDS
23,ST. JAMES OLYMP,89,FRANCISCAN HEALTH OLYMPIA FIELDS,"20201 SOUTH CRAWFORD AVE, OLYMPIA FIELDS, IL 60461",HOSPITAL,20201 SOUTH CRAWFORD AVE,OLYMPIA FIELDS,IL,60461,,,
66,FRANKLIN BOULEV,7,FRANKLIN BOULEVARD COMMUNITY HOSPITAL,"3240 W FRANKLIN BLVD, CHICAGO, IL 60624",HOSPITAL,3240 W FRANKLIN BLVD,CHICAGO,IL,60624,,CLOSED,"Most recently named Sacred Heart Hospital (https://www.chicagotribune.com/news/ct-xpm-2013-08-30-ct-met-sacred-heart-hospital-fraud-20130830-story.html), now closed (https://www.justice.gov/usao-ndil/pr/owner-and-executives-convicted-medicare-referral-kickback-conspiracy-closed-sacred)"
74,GLENBROOK HOSPI,5,GLENBROOK HOSPITAL,"2100 PFINGSTEN RD, GLENVIEW, IL  60026",HOSPITAL,2100 PFINGSTEN RD,GLENVIEW,IL,60026,,,
43,GOTTLIEB MEMORI,32,GOTTLIEB MEMORIAL HOSPITAL,"701 W NORTH AVE, MELROSE PARK, IL 60160",HOSPITAL,701 W NORTH AVE,MELROSE PARK,IL,60160,,,
70,GRANT HOSPITAL,6,GRANT HOSPITAL,"550 WEBSTER AVE, CHICAGO, IL 60614",HOSPITAL,550 WEBSTER AVE,CHICAGO,IL,60614,,CLOSED,"Renamed LINCOLN PARK HOSPITAL, closed in 2008. https://www.chicagotribune.com/news/ct-xpm-1985-12-06-8503240606-story.html; https://mreida.tumblr.com/post/26389591728/chicago-hospitals-that-have-closed-in-the-past-12; https://yochicago.com/a-view-of-lincoln-parks-five-vanished-hospitals/29164/"
46,HENROTIN HOSPIT,29,HENROTIN HOSPITAL,"111 W OAK ST, CHICAGO, IL 60610",HOSPITAL,111 W OAK ST,CHICAGO,IL,60610,,CLOSED,"GNIS Detail - Henrotin Hospital (historical) (usgs.gov) - gives lat/lon, as 111 W Oak is no longer a location - closest is 123 W Oak now, it looks like"
